"","Valid_LIB.C.150","pezAlpes.phy.tip.label","Alien_origin","rep.1..length.pezAlpes.phy.tip.label..","Endemic","Ecrins.NP","Summits","Persistent","Under.Ice","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"22","Adonis_aestivalis","Adonis_aestivalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Adoxa_moschatellina","Adoxa_moschatellina","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Aegopodium_podagraria","Aegopodium_podagraria","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Aethionema_saxatile","Aethionema_saxatile","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Aethusa_cynapium","Aethusa_cynapium","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Agrimonia_eupatoria","Agrimonia_eupatoria","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Agrostis_alpina","Agrestis_alpina","",0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
"29","Agrostis_capillaris","Agrostis_capillaris","",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30","Agrostis_rupestris","Agrestis_rupestris","",0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
"31","Agrostis_schraderiana","Agrostis_agrostiflora","",0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"32","Agrostis_stolonifera","Agrostis_stolonifera","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Ajuga_chamaepitys","Ajuga_chamaepitys","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Ajuga_genevensis","Ajuga_genevensis","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Ajuga_pyramidalis","Ajuga_pyramidalis","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Ajuga_reptans","Ajuga_reptans","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Alchemilla_alpina","Alchemilla_alpina","",1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"38","Alchemilla_baltica","Alchemilla_baltica","Russia",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"39","Alchemilla_conjuncta","Alchemilla_conjuncta","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Alchemilla_connivens","Alchemilla_connivens","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Alchemilla_fissa","Alchemilla_fissa","",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"42","Alchemilla_flabellata","Alchemilla_flabellata","",1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"43","Alchemilla_glabra","Alchemilla_glabra","",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"44","Alchemilla_glaucescens","Alchemilla_glaucescens","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"45","Alchemilla_incisa","Alchemilla_incisa","",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"46","Alchemilla_monticola","Alchemilla_gracilis","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Alchemilla_pentaphyllea","Alchemilla_pentaphyllea","",1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"48","Alchemilla_plicata","Alchemilla_plicata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Alchemilla_saxatilis","Alchemilla_saxatilis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Alchemilla_subcrenata","Alchemilla_subcrenata","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Alchemilla_transiens","Alchemilla_transiens","",1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"52","Alchemilla_xanthochlora","Alchemilla_xanthochlora","",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"53","Alisma_plantago-aquatica","Alisma_plantago_aquatica","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Alliaria_petiolata","Alliaria_petiolata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Allium_lusitanicum","Allium_senescens","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Allium_oleraceum","Allium_oleraceum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Allium_schoenoprasum","Allium_schoenoprasum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Allium_scorodoprasum","Allium_scorodoprasum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Allium_sphaerocephalon","Porrum_sphaerocephaluon","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Allium_strictum","Allium_lineare","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Allium_tauricum","Allium_tauricum","Caucasus, Russia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Allium_ursinum","Allium_ursinum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Allium_victorialis","Allium_victorialis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Alnus_alnobetula","Alnus_viridis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Alnus_glutinosa","Alnus_glutinosa","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Alnus_incana","Alnus_incana","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Alopecurus_magellanicus","Alopecurus_magellanicus","North Eurasia",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"68","Alopecurus_myosuroides","Alopecurus_myosuroides","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Alyssoides_utriculata","Alyssoides_utriculata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Alyssum_alpestre","Alyssum_alpestre","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Alyssum_alyssoides","Alyssum_alyssoides","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Amelanchier_ovalis","Amelanchier_ovalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Anacamptis_morio","Herorchis_morio","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Androsace_adfinis_subsp._puberula","Androsace_carnea","",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"75","Androsace_helvetica","Androsace_helvetica","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Androsace_maxima","Androsace_maxima","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Androsace_obtusifolia","Androsace_obtusifolia","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"78","Androsace_pubescens","Aretia_pubescens","",0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0
"79","Androsace_vandellii","Androsace_vandellii","",1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"80","Androsace_vitaliana","Androsace_vitaliana","",0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"81","Anemone_alpina","Pulsatilla_alpina","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Anemone_baldensis","Anemonoides_baldensis","",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"83","Anemone_halleri","Pulsatilla_halleri","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Anemone_hepatica","Hepatica_nobilis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Anemone_montana","Pulsatilla_montana","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Anemone_narcissiflora","Anemone_narcissiflora","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Anemone_ranunculoides","Anemonoides_ranunculoides","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Anemone_vernalis","Pulsatilla_vernalis","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"89","Angelica_sylvestris","Angelica_sylvestris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Anisantha_sterilis","Bromus_sterilis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Anisantha_tectorum","Bromus_tectorum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Antennaria_carpatica","Antennaria_carpatica","",1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"93","Antennaria_dioica","Antennaria_dioica","",1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
"94","Anthericum_liliago","Anthericum_liliago","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Anthoxanthum_odoratum","Anthoxanthum_odoratum","",1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
"96","Anthriscus_sylvestris","Anthriscus_sylvestris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Anthyllis_montana","Anthyllis_montana","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Anthyllis_vulneraria","Anthyllis_vulneraria","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Antirrhinum_majus","Antirrhinum_majus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Aquilegia_vulgaris","Aquilegia_vulgaris","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Arabidopsis_thaliana","Arabidopsis_thaliana","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Arabis_allionii","Arabis_allionii","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Arabis_auriculata","Arabis_auriculata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Arabis_caerulea","Arabis_caerulea","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Arabis_caucasica","Arabis_alpina","",1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"106","Arabis_ciliata","Arabis_ciliata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Arabis_ciliata_var._hirsuta","Arabis_hirsuta","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Arabis_collina","Arabis_collina","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Arabis_nova","Arabis_nova","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Arabis_sagittata","Arabis_sagittata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","Arabis_scabra","Cardamine_bellidifolia","",1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"112","Arabis_soyeri","Arabis_soyeri","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Arctium_minus","Arctium_minus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Arctium_nemorosum","Arctium_nemorosum","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","Arctostaphylos_uva-ursi","Arctostaphylos_uva_ursi","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Arenaria_biflora","Alsinanthus_biflorus","",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"117","Arenaria_gothica","Arenaria_gothica","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Arenaria_serpyllifolia","Arenaria_serpyllifolia","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Armeria_alpina","Armeria_alpina","",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"120","Armeria_arenaria","Armeria_arenaria","",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"121","Arnica_montana","Arnica_montana","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Arrhenatherum_elatius","Arrhenatherum_elatius","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Artemisia_absinthium","Artemisia_absinthium","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","Artemisia_alba","Artemisia_alba","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Artemisia_atrata","Artemisia_atrata","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Artemisia_campestris","Artemisia_campestris","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","Artemisia_genipi","Artemisia_genipi","",1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"128","Artemisia_umbelliformis","Artemisia_umbelliformis","",1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
"129","Artemisia_vulgaris","Artemisia_vulgaris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Arum_maculatum","Arum_maculatum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","Aruncus_dioicus","Aruncus_dioicus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","Asarum_europaeum","Asarum_europaeum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","Asparagus_tenuifolius","Asparagus_tenuifolius","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Asperugo_procumbens","Asperugo_procumbens","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Asperula_cynanchica","Asperula_cynanchica","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","Asperula_purpurea","Galium_rubrum","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Asphodelus_albus","Asphodelus_albus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Asphodelus_macrocarpus","Asphodelus_macrocarpus","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","Asplenium_adiantum-nigrum","Asplenium_adiantum_nigrum","",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"140","Asplenium_ceterach","Asplenium_ceterach","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","Asplenium_exiguum","Asplenium_exiguum","China",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Asplenium_ruta-muraria","Asplenium_ruta_muraria","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Asplenium_septentrionale","Asplenium_septentrionale","",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"144","Asplenium_trichomanes","Asplenium_trichomanes","",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"145","Asplenium_viride","Asplenium_ramosum","",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"146","Aster_alpinus","Aster_alpinus","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"147","Astragalus_alpinus","Astragalus_alpinus","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"148","Astragalus_australis","Astragalus_australis","",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"149","Astragalus_austriacus","Astragalus_austriacus","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","Astragalus_cicer","Astragalus_cicer","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Astragalus_danicus","Astragalus_danicus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Astragalus_depressus","Astragalus_depressus","",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"153","Astragalus_glycyphyllos","Astragalus_glycyphyllos","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Astragalus_hypoglottis","Phaca_hypoglottis","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Astragalus_monspessulanus","Astragalus_monspessulanus","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Astragalus_onobrychis","Astragalus_onobrychis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Astragalus_penduliflorus","Astragalus_penduliflorus","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Astragalus_sempervirens","Astragalus_sempervirens","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Astragalus_stella","Astragalus_stella","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Astragalus_vesicarius","Astragalus_vesicarius","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","Astrantia_major_subsp._involucrata","Astrantia_major","",1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"162","Athamanta_cretensis","Athamanta_cretensis","",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"163","Athyrium_distentifolium","Athyrium_alpestre","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Athyrium_filix-femina","Athyrium_filix_femina","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Atocion_armeria","Silene_armeria","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","Atocion_rupestre","Atocion_rupestre","",1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"167","Atropa_belladonna","Atropa_belladonna","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Avenella_flexuosa","Deschampsia_flexuosa","",1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"169","Avenula_pubescens","Helictotrichon_pubescens","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Barbarea_intermedia","Barbarea_intermedia","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Barbarea_vulgaris","Barbarea_vulgaris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Bartsia_alpina","Bartsia_alpina","",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"173","Bellardiochloa_variegata","Bellardiochloa_variegata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Bellidiastrum_michelii","Bellidiastrum_michelii","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Berardia_lanuginosa","Berardia_subacaulis","",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"176","Berberis_vulgaris","Berberis_vulgaris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Betonica_hirsuta","Stachys_pradica","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Betonica_officinalis","Betonica_officinalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Betula_pendula","Betula_pendula","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Betula_pubescens","Betula_pubescens","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Biscutella_laevigata","Biscutella_laevigata","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Bistorta_officinalis","Bistorta_officinalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Bistorta_vivipara","Bistorta_vivipara","",1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
"184","Blackstonia_perfoliata","Blackstonia_perfoliata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Blechnum_spicant","Blechnum_spicant","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","Blitum_bonus-henricus","Chenopodium_bonus_henricus","",1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"187","Blysmus_compressus","Blysmus_compressus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","Bombycilaena_erecta","Bombycilaena_erecta","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Bothriochloa_ischaemum","Bothriochloa_ischaemum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","Botrychium_lunaria","Botrychium_lunaria","",0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
"191","Brachypodium_pinnatum","Brachypodium_pinnatum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Brachypodium_rupestre","Brachypodium_rupestre","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Brachypodium_sylvaticum","Brachypodium_sylvaticum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","Brassica_repanda","Brassica_repanda","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Briza_media","Briza_media","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","Bromopsis_benekenii","Bromus_benekenii","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","Bromopsis_erecta","Bromus_erectus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","Bromopsis_inermis","Bromus_inermis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Bromus_hordeaceus_subsp._thominei","Bromus_hordeaceus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
