"","phyloTips","persistant","underIce","n","aiguille.du.plat.de.la.selle","barre.des.Ecrins","brèche.de.valsenestre","brèche.du.râteau","la.meije","le.râteau","le.sirac","les.rouies","l.olan","mont.pelvoux","occidentale.l.ailefroide","pic.du.clapier.du.peyron","pic.ouest..le.rateau.","pointe.brevoort","pointes.de.burlan","rocher.de.la.selle","signal.du.lauvitel","tour.choisy","tête.de.la.muraillette","Summits"
"Carex_ferruginea","Carex_ferruginea","1","1","1","1","1","1","0","0","1","1","0","1","0","1","0","0","0","1","1","1","0","1","1"
"Carex_foetida","Carex_foetida","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1"
"Carex_frigida","Carex_frigida","1","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1"
"Carex_rupestris","Carex_rupestris","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Cerastium_alpinum","Cerastium_alpinum","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1"
"Cerastium_arvense","Cerastium_arvense","1","1","1","0","1","1","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","1"
"Cerastium_cerastoides","Cerastium_cerastoides","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1"
"Cerastium_latifolium","Cerastium_latifolium","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Cerastium_uniflorum","Cerastium_uniflorum","1","1","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","1","1","1"
"Chenopodium_bonus_henricus","Chenopodium_bonus_henricus","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Cirsium_spinosissimum","Cirsium_spinosissimum","1","1","1","1","0","1","0","0","0","1","1","1","0","0","0","1","0","0","1","1","0","0","1"
"Cotoneaster_integerrimus","Cotoneaster_integerrimus","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Crepis_pygmaea","Crepis_pygmaea","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Cryptogramma_crispa","Cryptogramma_crispa","1","1","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","1","1"
"Cystopteris_fragilis","Cystopteris_fragilis","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1"
"Deschampsia_flexuosa","Deschampsia_flexuosa","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Doronicum_grandiflorum","Doronicum_grandiflorum","1","1","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","1","0","1","1"
"Draba_aizoides","Draba_aizoides","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1"
"Draba_dubia","Draba_dubia","1","1","1","1","0","0","0","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1"
"Draba_fladnizensis","Draba_fladnizensis","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1"
"Draba_siliquosa","Draba_siliquosa","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Dryas_octopetala","Dryas_octopetala","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1"
"Dryopteris_filix_mas","Dryopteris_filix_mas","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1"
"Empetrum_nigrum","Empetrum_nigrum","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Epilobium_alsinifolium","Epilobium_alsinifolium","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Epilobium_anagallidifolium","Epilobium_anagallidifolium","1","1","1","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","1","0","1","1"
"Erigeron_uniflorus","Erigeron_uniflorus","1","1","1","0","1","0","0","0","0","0","1","1","0","0","1","0","0","1","1","0","1","0","1"
"Eritrichium_nanum","Eritrichium_nanum","1","0","1","1","1","0","0","1","0","1","1","1","1","0","1","0","1","0","1","1","1","0","1"
"Euphorbia_cyparissias","Euphorbia_cyparissias","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Euphrasia_alpina","Euphrasia_alpina","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Euphrasia_minima","Euphrasia_minima","1","1","1","1","1","0","1","0","0","1","1","1","0","0","0","0","0","1","1","1","0","1","1"
"Euphrasia_salisburgensis","Euphrasia_salisburgensis","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Euphrasia_stricta","Euphrasia_stricta","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"Festuca_halleri","Festuca_halleri","1","1","1","1","1","0","0","0","1","1","1","1","0","1","1","1","0","1","1","1","0","1","1"
"Festuca_laevigata","Festuca_laevigata","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Festuca_melanopsis","Festuca_melanopsis","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Festuca_rubra","Festuca_rubra","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Galium_pumilum","Galium_pumilum","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Gentiana_acaulis","Gentiana_acaulis","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","1"
"Gentiana_nivalis","Gentiana_nivalis","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Gentiana_verna","Gentiana_verna","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
"Gentianella_campestris","Gentianella_campestris","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Geranium_sylvaticum","Geranium_sylvaticum","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Geum_reptans","Geum_reptans","1","1","1","0","1","0","1","1","0","1","1","0","0","1","1","0","0","1","1","0","0","1","1"
"Geum_urbanum","Geum_urbanum","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Globularia_cordifolia","Globularia_cordifolia","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Gnaphalium_supinum","Gnaphalium_supinum","1","1","1","1","0","0","1","1","0","0","1","1","0","0","0","1","0","0","1","1","0","1","1"
"Gymnocarpium_robertianum","Gymnocarpium_robertianum","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Gypsophila_repens","Gypsophila_repens","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"Helictotrichon_sedenense","Helictotrichon_sedenense","1","1","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","1","1","1","0","1","1"
"Hieracium_alpinum","Hieracium_alpinum","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Hieracium_antarcticum","Hieracium_antarcticum","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Hieracium_villosum","Hieracium_villosum","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1"
"Homogyne_alpina","Homogyne_alpina","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1"
"Hornungia_alpina","Hornungia_alpina","1","1","1","0","1","0","1","1","0","0","1","1","0","0","1","0","0","0","1","1","1","1","1"
"Huperzia_selago","Huperzia_selago","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"Hypericum_richeri","Hypericum_richeri","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Juncus_trifidus","Juncus_trifidus","1","1","1","0","1","0","0","0","1","1","0","1","1","0","0","1","0","1","1","1","0","0","1"
"Juncus_triglumis","Juncus_triglumis","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Juniperus_sabina","Juniperus_sabina","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Kobresia_myosuroides","Kobresia_myosuroides","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1"
"Leontodon_pyrenaicus","Leontodon_pyrenaicus","1","1","0","1","1","0","0","0","1","1","0","1","0","1","0","0","0","0","1","0","0","1","1"
"Leontopodium_brachyactis","Leontopodium_brachyactis","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Leucanthemopsis_alpina","Leucanthemopsis_alpina","1","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1"
"Linaria_alpina","Linaria_alpina","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1"
"Lloydia_serotina","Lloydia_serotina","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1"
"Lotus_alpinus","Lotus_alpinus","1","1","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","1","1"
"Luzula_alpinopilosa","Luzula_alpinopilosa","1","1","1","1","1","0","1","1","0","1","0","1","0","0","0","1","0","0","1","1","0","0","1"
"Luzula_lutea","Luzula_lutea","1","1","1","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","1","1","0","1","1"
"Luzula_spicata","Luzula_spicata","1","1","1","1","1","0","1","0","0","1","1","1","1","0","1","1","0","1","1","1","1","0","1"
"Micranthes_stellaris","Micranthes_stellaris","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Minuartia_laricifolia","Minuartia_laricifolia","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Minuartia_sedoides","Minuartia_sedoides","1","1","1","0","1","0","0","1","0","1","1","1","0","1","1","0","1","1","1","1","0","1","1"
"Myosotis_alpestris","Myosotis_alpestris","1","1","1","0","1","1","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","1","1"
"Myosotis_decumbens","Myosotis_decumbens","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Nardus_stricta","Nardus_stricta","1","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Noccaea_rotundifolia","Noccaea_rotundifolia","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1"
"Oxyria_digyna","Oxyria_digyna","1","1","1","0","1","0","1","1","0","0","1","0","0","1","1","1","0","0","1","1","0","0","1"
"Oxytropis_campestris","Oxytropis_campestris","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1"
"Pedicularis_kerneri","Pedicularis_kerneri","1","1","1","0","1","0","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","1"
"Pedicularis_tuberosa","Pedicularis_tuberosa","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Pedicularis_verticillata","Pedicularis_verticillata","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Phleum_alpinum","Phleum_alpinum","1","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Phyteuma_michelii","Phyteuma_michelii","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Pilosella_peleteriana","Pilosella_peleteriana","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Pinguicula_vulgaris","Pinguicula_vulgaris","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Poa_alpina","Poa_alpina","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","0","1","1"
"Poa_annua","Poa_annua","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Poa_cenisia","Poa_cenisia","1","1","1","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0","1","1","0","0","1"
"Poa_laxa","Poa_laxa","1","1","1","1","1","0","1","1","0","0","1","1","0","0","1","1","1","0","1","0","1","0","1"
"Poa_supina","Poa_supina","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Polygonum_aviculare","Polygonum_aviculare","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Polystichum_lonchitis","Polystichum_lonchitis","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1"
"Potentilla_aurea","Potentilla_aurea","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Potentilla_crantzii","Potentilla_crantzii","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Potentilla_frigida","Potentilla_frigida","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1"
"Potentilla_grandiflora","Potentilla_grandiflora","1","1","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"Primula_hirsuta","Primula_hirsuta","1","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1","1","0","0","1"
"Primula_pedemontana","Primula_pedemontana","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Pulsatilla_vernalis","Pulsatilla_vernalis","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Ranunculus_glacialis","Ranunculus_glacialis","1","1","1","0","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Ranunculus_montanus","Ranunculus_montanus","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1"
"Rhododendron_ferrugineum","Rhododendron_ferrugineum","1","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"Rubus_idaeus","Rubus_idaeus","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Rubus_saxatilis","Rubus_saxatilis","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Rumex_scutatus","Rumex_scutatus","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Sagina_saginoides","Sagina_saginoides","1","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"Salix_hastata","Salix_hastata","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"Salix_herbacea","Salix_herbacea","1","1","1","1","1","0","1","0","0","1","1","1","0","1","1","1","0","0","1","1","0","1","1"
"Salix_reticulata","Salix_reticulata","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1"
"Salix_retusa","Salix_retusa","1","1","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","1"
"Saussurea_alpina","Saussurea_alpina","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Saxifraga_aizoides","Saxifraga_aizoides","1","1","1","0","0","0","1","1","0","1","1","0","0","1","1","0","0","1","1","1","0","0","1"
"Saxifraga_androsacea","Saxifraga_androsacea","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"Saxifraga_aspera","Saxifraga_aspera","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Saxifraga_biflora","Saxifraga_biflora","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"Saxifraga_bryoides","Saxifraga_bryoides","1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1"
"Saxifraga_oppositifolia","Saxifraga_oppositifolia","1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1"
"Saxifraga_paniculata","Saxifraga_paniculata","1","1","1","0","1","0","0","1","1","1","1","1","0","0","1","0","0","1","1","1","0","1","1"
"Saxifraga_retusa","Saxifraga_retusa","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Sedum_anacampseros","Sedum_anacampseros","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Senecio_doronicum","Senecio_doronicum","1","1","1","0","0","1","0","0","1","0","1","1","1","0","0","0","0","0","1","1","0","0","1"
"Sesleria_caerulea","Sesleria_caerulea","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1"
"Sibbaldia_procumbens","Sibbaldia_procumbens","1","0","1","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","1","0","0","1","1"
"Silene_acaulis","Silene_acaulis","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Silene_vulgaris","Silene_vulgaris","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Soldanella_alpina","Soldanella_alpina","1","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1"
"Solidago_virgaurea","Solidago_virgaurea","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Taraxacum_alpinum","Taraxacum_alpinum","1","1","1","0","0","0","1","0","1","1","1","0","0","0","1","0","0","0","0","1","0","1","1"
"Taraxacum_officinale","Taraxacum_officinale","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Thymus_praecox","Thymus_praecox","1","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Thymus_serpyllum","Thymus_serpyllum","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","1","1"
"Tolpis_staticifolia","Tolpis_staticifolia","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Trifolium_alpinum","Trifolium_alpinum","1","1","1","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","1","0","0","0","1"
"Trifolium_badium","Trifolium_badium","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1"
"Trifolium_pallescens","Trifolium_pallescens","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1"
"Trifolium_pratense","Trifolium_pratense","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
"Trifolium_repens","Trifolium_repens","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Trifolium_thalii","Trifolium_thalii","1","1","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","1","1"
"Trisetum_flavescens","Trisetum_flavescens","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Trisetum_spicatum","Trisetum_spicatum","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Urtica_dioica","Urtica_dioica","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Vaccinium_myrtillus","Vaccinium_myrtillus","1","1","1","0","0","1","0","0","1","1","0","1","1","0","0","0","0","0","1","0","0","0","1"
"Vaccinium_uliginosum","Vaccinium_uliginosum","1","1","1","0","0","1","0","0","1","1","0","1","1","1","0","0","0","1","1","1","0","0","1"
"Valeriana_montana","Valeriana_montana","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Veronica_allionii","Veronica_allionii","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Veronica_alpina","Veronica_alpina","1","1","1","1","1","0","1","1","0","0","1","1","0","1","1","1","0","1","1","1","1","1","1"
"Veronica_aphylla","Veronica_aphylla","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
